type,impact_x_m,impact_y_m
monte_carlo,363.42868630167953,-1074.6449974862107
monte_carlo,-767.3625069776423,-978.3995831181662
monte_carlo,681.6136291575906,-1423.380921519637
monte_carlo,352.3730129103069,-1281.8246502242707
monte_carlo,873.9018097596933,-2371.379432272376
monte_carlo,870.6938711336564,-1290.759709090576
monte_carlo,-142.05859925979485,-1764.6080605669138
monte_carlo,882.1824368158958,-1371.2276201607926
monte_carlo,-60.749525412520434,-1549.9179484717924
monte_carlo,-11.952228119795206,-1514.8341126825205
monte_carlo,62.75493551123816,-1256.911784345035
monte_carlo,-23.451074477061876,-1357.8484161126
monte_carlo,1209.1911283561801,-1033.8725136737057
monte_carlo,1198.6807234236428,-1384.597632471138
monte_carlo,22.095393941547268,-1339.1847215859582
monte_carlo,2259.654947479816,-2448.097507903848
monte_carlo,250.93800920899147,-1493.7682594965922
monte_carlo,748.6060800319839,-1067.8657650871253
monte_carlo,-1192.497005833737,-1710.6047640224954
monte_carlo,772.9533065179794,-1454.117767093461
deterministic,374.30990299342244,-1389.428714539059
